,firm_id,firm_name,codex_category,country,city,year_founded,market,problem_1,problem_2,problem_3,analytics,ai,point_integrated,company_url,other_link,comments 
148,FIRM0389,Tunnel X,Legal Practice Management,USA,New York,2013,Corporate,Workflow & PM,NONE,NONE,0,0,Point Solution,https://www.tunnelx.com/,,
149,FIRM0391,Verinvest Corporation,Legal Practice Management,USA,Pennsylvania,2013,Corporate,Contracts,Workflow & PM,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/verinvest-corporation#section-overview,,
150,FIRM0396,LawPath,Legal Document Automation,Australia,Sydney,2013,Corporate,Contracts,Peak Load / Staffing,NONE,0,0,Integrated Solution,https://lawpath.com.au/,,
151,FIRM0397,PactSafe,Legal Document Automation,USA,Indianapolis,2013,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://www.pactsafe.com/features,,
152,FIRM0400,Advocado,Legal Marketplace,Germany,Greifswald,2014,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.advocado.de/startseite.html,,
153,FIRM0403,Audvi,E-Discovery,USA,San Diego,2014,Consumer,eDiscovery,NONE,NONE,0,0,Point Solution,http://audvi.com/,,Audvi App assists dyslexic and anybody who quickly needs reading assistance 
154,FIRM0407,Brāv,Online Dispute Resolution,USA,Detroit,2014,Consumer,Workflow & PM,NONE,NONE,0,0,Point Solution,http://brav.org/,,
155,FIRM0408,Capture.it,Legal Practice Management,Canada,Toronto,2008,Corporate,Legal Ops,NONE,NONE,1,0,Integrated Solution,https://www.crunchbase.com/organization/captureit#section-overview,,
156,FIRM0411,Checkr,Legal Document Automation,USA,San Francisco,2014,Corporate,Workflow & PM,NONE,NONE,1,0,Point Solution,https://checkr.com/product/,,
157,FIRM0416,ContratosApp,Legal Document Automation,Mexico,Mexico City,2014,Corporate,Contracts,NONE,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/contratosapp#section-overview,,
158,FIRM0423,DATY,Legal Research,Czech Republic,Praha,2014,Corporate,Legal Research,NONE,NONE,1,0,Point Solution,https://www.crunchbase.com/organization/daty#section-overview,,Acquired by FIRMO.cz
159,FIRM0424,DealCircle,Legal Document Automation,Denmark,Copenhagen,2013,Corporate,Contracts,Workflow & PM,DealTech,0,0,Integrated Solution,https://www.crunchbase.com/organization/dealcircle#section-overview,,
160,FIRM0431,Eris Industries (Monax),Legal Document Automation,UK,London,2014,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://monax.io/features/,,
161,FIRM0433,Gadfly Legal Technologies (now LeasePilot),Legal Document Automation,USA,Boston,2014,Corporate,Contracts,NONE,NONE,1,0,Point Solution,https://leasepilot.co/,,Rebranded as LeasePilot
162,FIRM0436,Heureka Software,Legal Practice Management,USA,Cleveland,2014,Corporate,eDiscovery,Legal Research,NONE,1,0,Point Solution,https://www.heurekasoftware.com/,,
163,FIRM0439,Immuta,Legal Analytics,USA,Maryland,2014,Corporate,Workflow & PM,Legal Research,NONE,1,1,Integrated Solution,https://www.immuta.com/,,
164,FIRM0442,Ironclad,Legal Document Automation,USA,San Francisco,2014,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://ironcladapp.com/,,
165,FIRM0443,jEugene,Legal Analytics,USA,New York,2014,Corporate,Legal Research,Workflow & PM,NONE,1,0,Point Solution,https://www.crunchbase.com/organization/jeugene,,
166,FIRM0444,Jurispect,Legal Analytics,USA,San Francisco,2014,Corporate,RegTech,Legal Research,NONE,1,0,Integrated Solution,https://www.compliance.ai/,,Rebranded as Compliance AI
167,FIRM0445,JustiServ,Legal Marketplace,USA,Boston,2014,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/justiserv,,
168,FIRM0448,Knomos Knowledge Management Inc,Legal Research,Canada,Vancouver,2014,Corporate,KM,Legal Research,NONE,1,1,Point Solution,http://knomos.law/,,
169,FIRM0449,Lar21,Legal Document Automation,Brazil,São Paulo,2014,Corporate,Contracts,NONE,NONE,1,0,Integrated Solution,http://www.lar21.com/,,
170,FIRM0458,LawGeex,Legal Document Automation,Israel,Tel Aviv,2014,Corporate,Legal Research,Workflow & PM,NONE,1,1,Integrated Solution,https://www.lawgeex.com/,,
171,FIRM0460,LawGo,Legal Marketplace,USA,New York,2014,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/lawgo#section-overview,,
172,FIRM0461,LawTrades,Legal Marketplace,USA,New York,2014,Consumer,Peak Load / Staffing,Workflow & PM,NONE,0,0,Integrated Solution,https://www.lawtrades.com/,,
173,FIRM0463,Legal Inc,Legal Document Automation,USA,Texas,2014,Corporate,Contracts,RegTech,Workflow & PM,1,0,Integrated Solution,https://legalinc.com/,,
174,FIRM0467,Legalix,Legal Document Automation,Mexico,Mexico City,2014,Corporate,Contracts,KM,Workflow & PM,1,0,Integrated Solution,https://www.legalix.com/,,
175,FIRM0471,Lexoo,Legal Marketplace,UK,London,2014,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.lexoo.co.uk/,,
176,FIRM0474,MeWe.Org (now CoInspect),Legal Compliance,USA,California,2014,Corporate,RegTech,Workflow & PM,NONE,1,0,Integrated Solution,https://coinspectapp.com/,,
177,FIRM0476,MisAbogados.com,Legal Marketplace,Chile,Santiago,2014,Consumer,Peak Load / Staffing,Workflow & PM,NONE,0,0,Point Solution,https://www.misabogados.com/,,
178,FIRM0477,Nventi,Legal Analytics,USA,Berkeley,2014,Corporate,Legal Research,Workflow & PM,NONE,1,0,Point Solution,https://www.crunchbase.com/organization/nventi#section-overview,,
179,FIRM0481,Premonition,Legal Analytics,USA,Miami,2014,Corporate,LitTech ,Legal Research,NONE,1,1,Point Solution,https://www.premonition.ai/,,
180,FIRM0482,Quicklegal,Legal Marketplace,USA,Sacramento,2014,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/quick-legal/,,
181,FIRM0487,ROSS Intelligence,Legal Research,USA,San Francisco,2014,Corporate,Legal Research,NONE,NONE,1,1,Point Solution,https://rossintelligence.com/,,
182,FIRM0492,Stampery,Legal Document Automation,USA,California,2015,Corporate,Contracts,Legal Research,Workflow & PM,1,0,Integrated Solution,https://stampery.com/,,Blockchain technology to authenticate and certify contracts
183,FIRM0495,Suralink,Legal Document Automation,USA,Utah,2014,Corporate,Workflow & PM,Contracts,NONE,1,0,Integrated Solution,https://www.suralink.com/#top,,
184,FIRM0499,Trustatom,Legal Document Automation,Canada,Vancouver,2014,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://www.linkedin.com/company/trustatom/,,
185,FIRM0500,Tyche,Legal Research,USA,New York,2014,Corporate,Legal Research,NONE,NONE,1,0,Point Solution,https://www.tycherisk.co/,,
186,FIRM0508,X2X Community (The Family Community),Legal Marketplace,USA,Maine,2014,Consumer,Workflow & PM,Legal Ops,NONE,0,0,Integrated Solution,http://www.thefamilycommunity.com/,,
187,FIRM0509,Yuristiya,Legal Marketplace,Russia,Moscow,2014,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,http://yuristiya.com/,,
188,FIRM0510,FairClaim,Online Dispute Resolution,USA,Los Angeles,2014,Corporate,LitTech ,Workflow & PM,Legal Ops,0,0,Integrated Solution,https://www.fairclaims.com/how_it_works,,Online dispute resolution
190,FIRM0513,Allegory Law,Legal Analytics,USA,New York,2011,Corporate,KM,LitTech ,NONE,1,0,Integrated Solution,https://allegorylaw.com/,,
191,FIRM0517,Ascent Technologies,Legal Document Automation,USA,Chicago,2015,Corporate,RegTech,Workflow & PM,Legal Research,1,1,Integrated Solution,https://www.ascentregtech.com,,
192,FIRM0519,avvoka,Legal Practice Management,UK,London,2015,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://avvoka.com/,,
193,FIRM0528,CaseHub,Legal Marketplace,UK,London,2014,Consumer,Peak Load / Staffing,LitTech ,NONE,0,0,Point Solution,http://casehub.com/,,
194,FIRM0533,Clause,Legal Document Automation,USA,New York,2015,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,http://clause.io/,,Smart contracts using blockchain technologies that also enables automation
195,FIRM0548,DivorceSecure,Online Dispute Resolution,USA,Memphis,2015,Corporate,LitTech ,Other Practice Tech,NONE,1,0,Integrated Solution,https://www.crunchbase.com/organization/divorcesecure,,DivorceSecure is an online platform for divorce attorneys that enables them to manage their clients.
196,FIRM0553,Esquify,Legal Document Automation,USA,Chicago,2014,Corporate,eDiscovery,Workflow & PM,Peak Load / Staffing,1,1,Integrated Solution,http://www.esquify.com/,,
197,FIRM0581,Legal Logs,Legal Practice Management,USA,Baltimore,2012,Consumer,Workflow & PM,Contracts,eDiscovery,1,0,Integrated Solution,https://www.legallogs.com/,,
198,FIRM0583,Legal Robot,Legal Analytics,USA,San Francisco,2013,Corporate,Legal Research,eDiscovery,NONE,1,1,Integrated Solution,https://www.legalrobot.com/,,
199,FIRM0586,LegalClick,Legal Marketplace,USA,Florida,2015,Consumer,Peak Load / Staffing,Contracts,NONE,0,0,Integrated Solution,https://www.legalclick.com/,,
200,FIRM0587,Legalese,Legal Document Automation,Singapore,Singapore,2015,Corporate,Contracts,NONE,NONE,1,0,Point Solution,https://legalese.com/index,,
201,FIRM0599,My Exit Strategy (now Cake),Legal Document Automation,USA,Cambridge,2015,Consumer,Contracts,NONE,NONE,0,0,Integrated Solution,https://www.joincake.com/,,Digital platform for advance care planning and end-of-life planning.
202,FIRM0608,openlaws,Legal Research,Austria,Salzburg,2015,Corporate,Legal Research,RegTech,NONE,1,0,Integrated Solution,https://openlaws.com/home,,
203,FIRM0610,Ping,Legal Practice Management,USA,Berkerley,2015,Corporate,Legal Ops,NONE,NONE,1,1,Integrated Solution,https://www.timebyping.com/,,
204,FIRM0614,RiskGenius,Legal Analytics,USA,Kansas,2015,Corporate,Legal Research,RegTech,Workflow & PM,1,1,Integrated Solution,https://www.riskgenius.com/,,
205,FIRM0616,Should I Sign,Legal Marketplace,USA,New York,2015,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.linkedin.com/company/should-i-sign-inc-/,,
206,FIRM0620,synergist.io,Legal Practice Management,Germany,Berlin,2015,Corporate,Contracts,Workflow & PM,NONE,1,0,Point Solution,https://synergist.io/,,
207,FIRM0627,Concord,Legal Document Automation,USA,San Francisco,2015,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://www.concordnow.com/,,
208,FIRM0628,Legal Advice Middle East,Legal Marketplace,UAE,Dubai,2015,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://legaladviceme.com/,,
209,FIRM0629,Libryo,Legal Compliance,UK,London,2015,Corporate,RegTech,KM,NONE,1,0,Integrated Solution,https://libryo.com/,,
210,FIRM0630,Luminance,Legal Research,UK,London,2016,Corporate,Legal Research,Workflow & PM,NONE,1,1,Point Solution,https://www.luminance.com/technology/,,
211,FIRM0631,MainLaws,Legal Marketplace,UK,London,2015,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.crunchbase.com/organization/mainlaws-ltd-#section-overview,,
212,FIRM0632,Onna,Legal Practice Management,Spain,Barcelona,2012,Corporate,eDiscovery,Workflow & PM,DealTech,1,1,Point Solution,https://onna.com/,,
213,FIRM0633,Юрбюро,Legal Marketplace,Russia,Moscow,2016,Consumer,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,,,
214,FIRM0634,LegalMatters.com,Legal Document Automation,Netherlands,Amsterdam,2013,Corporate,Contracts,Peak Load / Staffing,NONE,0,0,Integrated Solution,https://www.legalmatters.com/,,
215,FIRM0637,BurgieLaw,Legal Marketplace,Malaysia,Kuala Lumpur,2016,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.burgielaw.com/,,
216,FIRM0639,Compensation2Go ,Legal Practice Management,Germany,Bochum,2016,Consumer,LitTech ,Peak Load / Staffing,NONE,1,0,Integrated Solution,https://compensation2go.com/,,Immediate compensation and litigation funding service for air ticketholders whose flights were disrupted.
217,FIRM0644,Doctrine,Legal Research,France,Paris,2016,Corporate,Legal Research,NONE,NONE,1,1,Point Solution,https://www.doctrine.fr/,,
218,FIRM0647,Doxly,Legal Practice Management,USA,Indianapolis,2016,Corporate,DealTech,Workflow & PM,NONE,1,0,Integrated Solution,https://doxly.com/,,
219,FIRM0663,Otonomos,Legal Document Automation,Singapore,Singapore,2016,Corporate,Contracts,NONE,NONE,1,0,Integrated Solution,https://otonomos.com/,,
220,FIRM0667,Upsolve,Legal Document Automation,USA,New York,2016,Corporate,Contracts,Peak Load / Staffing,NONE,0,0,Integrated Solution,https://www.upsolve.org/,,
221,FIRM0669,Witnex,Legal Research,USA,Florida,2016,Corporate,LitTech ,Peak Load / Staffing,Workflow & PM,1,0,Integrated Solution,http://www.witnex.com/home,,
222,FIRM0671,Case.one,Legal Practice Management,USA,California,2010,Corporate,Workflow & PM,Contracts,Legal Ops,1,1,Integrated Solution,https://case.one/,,
223,FIRM0672,Court Buddy,Legal Marketplace,USA,San Francisco,2015,Consumer,Peak Load / Staffing,Workflow & PM,NONE,0,0,Integrated Solution,https://www.courtbuddy.com/,,
224,FIRM0673,Granthika Co.,Legal Analytics,USA,California,2016,Corporate,Contracts,KM,NONE,1,1,Point Solution,http://granthika.co/,,
225,FIRM0674,Headnote,Legal Practice Management,USA,California,2015,Corporate,Legal Ops,NONE,NONE,1,0,Point Solution,https://headnote.com/#!/,,Headnote is an online payment tool for the legal industry
226,FIRM0675,Juro,Legal Practice Management,UK,London,2015,Corporate,Workflow & PM,Contracts,NONE,1,1,Integrated Solution,https://juro.com/,,
227,FIRM0676,Legalist,Legal Analytics,USA,San Francisco,2008,Consumer,LitTech ,Peak Load / Staffing,NONE,1,0,Integrated Solution,https://www.legalist.com/,,
228,FIRM0677,Litify,Legal Practice Management,USA,New York,2016,Corporate,Workflow & PM,Workflow & PM,Legal Ops,1,0,Integrated Solution,https://www.litify.com/product-overview/#product-matter,,
229,FIRM0678,SeedLegals,Legal Practice Management,UK,London,2016,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://seedlegals.com/,,Provides end-to-end legal and technology solution to help entrepreneurs raise funds
230,FIRM0679,Waymark Tech,Legal Compliance,UK,London,2013,Corporate,RegTech,Workflow & PM,NONE,1,1,Integrated Solution,http://waymark.tech/,,
231,FIRM0680,Resis,Legal Practice Management,Poland,Krakow,2014,Corporate,Legal Ops,Workflow & PM,NONE,1,0,Integrated Solution,https://www.crunchbase.com/organization/resis,,
232,FIRM0683,Atrium LTS,Legal Practice Management,USA,San Francisco,2017,Corporate,Workflow & PM,Contracts,NONE,1,0,Integrated Solution,https://www.atrium.co/,,
233,FIRM0693,Railsbank,Legal Compliance,UK,London,2016,Corporate,RegTech,Workflow & PM,NONE,1,0,Integrated Solution,https://www.railsbank.com/,,RailsBank is a BaaS platform that connects finTech companies and banks together. Closer to a Fintech solution with a compliance element
234,FIRM0694,VoxSmart,Legal Compliance,UK,London,2006,Corporate,RegTech,Workflow & PM,NONE,1,0,Point Solution,https://voxsmart.com/,,
235,FIRM0695,RSRCHXchange,Legal Compliance,UK,London,2014,,NONE,NONE,NONE,0,0,,http://rsrchxchange.com/,,RSRCHXchange is a research aggregator and marketplace
236,FIRM0696,TrueLayer,Legal Compliance,UK,London,2016,,NONE,NONE,NONE,0,0,,https://www.tessian.com/platform,,"TrueLayer provide APIs that allow companies to securely and efficiently access their customers’ bank accounts to share financial data, make payments and validate their identity"
237,FIRM0697,Tessian (previously CheckRecipient),Legal Compliance,UK,London,2013,Corporate,Workflow & PM,NONE,NONE,1,1,Point Solution,https://www.tessian.com/platform,,
238,FIRM0698,PassFort,Legal Compliance,UK,London,2015,Corporate,RegTech,Workflow & PM,NONE,1,0,Integrated Solution,https://www.passfort.com/features,,
239,FIRM0699,OpenGamma,Legal Compliance,UK,London,2009,,NONE,NONE,NONE,0,0,,https://opengamma.com/,,"OpenGamma is an nalytics company dedicated to reducing the costs of trading derivatives, by providing actionable recommendations to front-office, risk and treasury"
240,FIRM0700,Onfido,Legal Compliance,UK,London,2012,Corporate,Workflow & PM,NONE,NONE,1,1,Point Solution,https://onfido.com/,,Onfido validates a user’s identity document and compares it with their facial biometrics. 
241,FIRM0701,Elliptic,Legal Compliance,UK,London,2013,Corporate,RegTech,NONE,NONE,1,0,Integrated Solution,https://www.elliptic.co/,,Elliptic is a forensic investigation company that specialise in detecting and investigating cryptocurrency-enabled crimes
242,FIRM0702,ComplyAdvantage,Legal Compliance,USA,New York,2014,Corporate,RegTech,NONE,NONE,1,1,Point Solution,https://complyadvantage.com/,,
243,FIRM0703,Regnosys,Legal Compliance,UK,London,2016,Corporate,RegTech,Workflow & PM,NONE,1,0,Integrated Solution,https://www.regnosys.com/,,
244,FIRM0706,NorthRow (formerly Contego),Legal Compliance,UK,Oxford,2011,Corporate,RegTech,NONE,NONE,1,0,Integrated Solution,https://www.northrow.com/,,
245,FIRM0707,Credit Benchmark,Legal Compliance,UK,London,2012,Corporate,NONE,NONE,NONE,0,0,,https://www.creditbenchmark.com/,,Credit Benchmark is a financial data analytics company
246,FIRM0708,AlgoDynamix,Legal Compliance,UK,London,2014,Corporate,NONE,NONE,NONE,1,1,Integrated Solution,https://www.algodynamix.com/,,AlgoDynamix provides data risk analytics platform used by investment banks and asset managers
247,FIRM0709,Erudine,Legal Compliance,UK,London,2012,Corporate,NONE,NONE,NONE,1,0,,https://www.linkedin.com/company/erudine/,,Erudine offers financial control systems to finance industries
248,FIRM0710,Quantexa,Legal Compliance,UK,London,2016,Corporate,RegTech,NONE,NONE,1,1,Integrated Solution,http://www.quantexa.com/,,
249,FIRM0711,Autologyx,Legal Compliance,USA,Hamsphire,2011,Corporate,RegTech,Workflow & PM,NONE,1,0,Integrated Solution,https://www.autologyx.com/,,Autologyx automates operational functions that include compliance
250,FIRM0712,Coinfirm,Legal Compliance,UK,London,2016,Corporate,RegTech,NONE,NONE,1,0,Integrated Solution,http://www.coinfirm.io/,,
251,FIRM0713,Privitar,Legal Compliance,UK,London,2014,Corporate,NONE,NONE,NONE,1,0,,https://www.privitar.com/,,"Privitar is a privacy engineering company that enables organisations to safely use, share, and derive insights from data"
252,FIRM0716,Behavox,Legal Compliance,UK,London,2014,Corporate,RegTech,NONE,NONE,1,1,Integrated Solution,https://www.behavox.com/index,,
253,FIRM0717,CoVi Analytics,Legal Compliance,UK,London,2015,Corporate,RegTech,NONE,NONE,1,1,Integrated Solution,http://www.covianalytics.com/,,CoVi Analytics simplifies compliance for Banks and Insurers based on an AI powered Saas suite.
254,FIRM0718,VATBox,Legal Compliance,Israel,Tel Aviv,2012,Corporate,RegTech,NONE,NONE,1,1,Integrated Solution,https://vatbox.com/,,VATBox automates VAT recovery and enables global compliance and governance
255,FIRM0719,Human,Legal Compliance,UK,London,2016,Corporate,NONE,NONE,NONE,1,1,,https://wearehuman.io/,,"Human provides technology to decipher subliminal facial expressions into emotion and characteristics traits, predicting human behaviour"
256,FIRM0720,DueDil,Legal Compliance,UK,London,2011,Corporate,RegTech,DealTech,NONE,1,0,Point Solution,https://www.duedil.com/,,DueDil provides complete and connected company information to help businesses find opportunities and evaluate risks
257,FIRM0721,Quantemplate,Legal Compliance,UK,,2013,Corporate,NONE,NONE,NONE,1,1,Integrated Solution,https://www.quantemplate.com/,,"Quantemplate uses machine learning to automate, integrate and analyse their data"
258,FIRM0722,Encompass,Legal Compliance,UK,Glasgow City,2012,Corporate,RegTech,Legal Ops,NONE,1,0,Point Solution,http://www.encompasscorporation.com/,,Encompass is the creator of KYC automation for major financial and professional service firms globally
259,FIRM0723,MIRACL,Legal Compliance,UK,London,2008,Corporate,NONE,NONE,NONE,0,0,,https://www.miracl.com/,,"MIRACL is an all-in-one authentication platform that secures the connections between the people, apps, and things that run any digital business"
260,FIRM0724,CloudMargin,Legal Compliance,UK,London,2013,Corporate,NONE,NONE,NONE,1,0,Integrated Solution,https://cloudmargin.com/,,"CloudMargin centralise, automate, connect and optimise collateral management."
261,FIRM0725,AQMETRICS,Legal Compliance,Ireland,Maynooth,2012,Corporate,RegTech,NONE,NONE,1,0,Integrated Solution,http://www.aqmetrics.com/,,
262,FIRM0726,Corlytics,Legal Compliance,Ireland,Dublin,2013,Corporate,RegTech,NONE,NONE,1,0,Point Solution,http://corlytics.com/,,CORLYTICS analyse and quantify
263,FIRM0727,Fenergo,Legal Compliance,Ireland,Dublin,2009,Corporate,RegTech,NONE,NONE,1,0,Integrated Solution,https://www.fenergo.com/,,"Fenergo client onboarding lifecycle management software for corporate, investment and private banks."
264,FIRM0728,Gecko Governance,Legal Compliance,Ireland,Dublin,2015,Corporate,RegTech,Workflow & PM,NONE,1,0,Integrated Solution,http://www.geckogovernance.com/,,GECKO Governance is a RegTech solution to allow fund managers and banks to monitor and manage their regulation and compliance requirements.
265,FIRM0732,Governance.io,Legal Compliance,Luxembourg,Luxembourg,2011,Corporate,RegTech,NONE,NONE,1,0,Point Solution,https://governance.com/,,
266,FIRM0733,TheMarketsTrust,Legal Compliance,Luxembourg,Luxembourg,2013,Corporate,NONE,NONE,NONE,1,0,Integrated Solution,http://themarketstrust.com/,,TheMarketsTrust specialise in high-tech and sophisticated solutions on risk-analysis
267,FIRM0734,Intix,Legal Compliance,Belgium,Antwerp,2011,Corporate,NONE,NONE,NONE,1,0,Integrated Solution,https://intix.eu/,,"INTIX monitors financial transactions such as customer payments across any number of source systems, data semantics, e-channels and messaging formats"
268,FIRM0735,SeattleMint,Legal Compliance,Belgium,Vlaams-Brabant,2016,Corporate,NONE,NONE,NONE,1,0,Integrated Solution,https://settlemint.com/solutions/governmint,,Provides blockchain solutions to businesses
269,FIRM0736,Limina,Legal Compliance,Sweden,Stockholm,2014,Corporate,RegTech,Workflow & PM,NONE,1,0,Integrated Solution,http://www.limina.com/,,
270,FIRM0737,BehavioSec,Legal Compliance,Sweden,Stockholm,2007,Corporate,NONE,NONE,NONE,1,0,Point Solution,https://www.behaviosec.com/,,BehavioSec develops continuous authentication and verification technology that provides identity and access management solutions
271,FIRM0738,NewBanking,Legal Compliance,Denmark,Copenhagen,2015,Corporate,NONE,NONE,NONE,1,0,,https://newbanking.com/,,NewBanking is an online platform for identity management.
272,FIRM0739,Omada,Legal Compliance,Denmark,Copenhagen,1999,Corporate,RegTech,NONE,NONE,1,0,Integrated Solution,https://www.omada.net/,,
273,FIRM0740,M-Files,Legal Practice Management,USA,Texas,2001,Corporate,Workflow & PM,NONE,NONE,0,0,Integrated Solution,https://www.m-files.com/en,,"M-Files provides the M-Files family of document management solutions that help businesses improve efficiency and productivity by improving the way they organize, manage and track documents and business processes"
274,FIRM0741,Avedos,Legal Compliance,Austria,Vienna,2005,Corporate,RegTech,NONE,NONE,1,0,Integrated Solution,https://www.avedos.com/en/,,
275,FIRM0742,Kompany,Legal Compliance,Austria,Vienna,2012,Corporate,RegTech,NONE,NONE,1,0,Point Solution,https://www.kompany.com/,,"Kompany provides real-time access to official and authoritative commercial register data, including company filings for KYC and AML."
276,FIRM0743,Qumram,Legal Compliance,Switzerland,Zurich,2011,Corporate,RegTech,NONE,NONE,1,0,Point Solution,http://www.qumram.com/products,,Qumram was acquired by Dynatrace recently
277,FIRM0744,Riskified,Legal Compliance,Israel,Tel Aviv,2012,Corporate,NONE,NONE,NONE,1,1,Integrated Solution,https://www.riskified.com/,,Riskified is an all-in-one eCommerce fraud prevention solution and chargeback protection service for high volume and enterprise merchants.
278,FIRM0746,Squirro,Legal Compliance,Switzerland,Zurich,2012,Corporate,NONE,NONE,NONE,1,1,Integrated Solution,https://squirro.com/,,Squirro delivers real-time context intelligence by combining structured and unstructured data.
279,FIRM0748,Alyne,Legal Compliance,Germany,Munich,2015,Corporate,RegTech,NONE,NONE,0,0,Point Solution,https://www.alyne.com/en/,,
280,FIRM0749,Redwood,Legal Compliance,Netherlands,Houten,1993,Corporate,NONE,NONE,NONE,1,0,Point Solution,https://www.redwood.com/,,Redwod's Robotics solutions help businesses optimize processes for digital operations
281,FIRM0750,TiS,Legal Compliance,Germany,Walldorf,2010,Corporate,NONE,NONE,NONE,1,0,Integrated Solution,https://www.tis.biz/,,TIS is a cloud platform for managing corporate payments and cash flows
282,FIRM0752,KMStandards,Legal Document Automation,USA,Chicago,2005,Corporate,Contracts,NONE,NONE,1,1,Integrated Solution,http://kmstandards.com/index.html,,
283,FIRM0753,Apttus,Legal Document Automation,USA,San Mateo,2006,Corporate,Workflow & PM,RegTech,NONE,1,0,Integrated Solution,https://apttus.com/,,"Apttus  not entirely LegalTech, Apttus’s contract lifecycle management solution is designed to overhaul how sales and legal interact"
284,FIRM0756,Surukam,Legal Practice Management,India,Chennai,2014,Corporate,Workflow & PM,Contracts,NONE,1,1,Integrated Solution,http://www.surukam.com/,,
285,FIRM0757,BrightFlag,Legal Practice Management,Ireland,Dublin,2014,Corporate,Legal Ops,NONE,NONE,1,1,Integrated Solution,https://www.brightflag.com/,,AI-powered eBilling and spend management software for legal departments.
286,FIRM0762,Gavelytics,Legal Analytics,USA,Santa Monica,2016,Corporate,Legal Research,LitTech ,NONE,1,1,Integrated Solution,https://www.gavelytics.com/,,Gavelytics is a judicial analytics tool that gives litigators actionable knowledge to help win more cases and more business
287,FIRM0765,Skopos Labs,Legal Research,USA,New York,2016,Corporate,Legal Research,RegTech,NONE,1,1,Point Solution,https://www.skoposlabs.com/about,,Skopos Labs has developed patent-pending machine learning technology that automatically processes and analyzes massive amounts of data to calculate the likelihood and impacts of law and policy changes
288,FIRM0767,Advanced Discovery,E-Discovery,USA,Kansas,2005,Corporate,eDiscovery,RegTech,NONE,1,0,Integrated Solution,https://www.advanceddiscovery.com/,,"Advanced Discovery was acquired by private equity firm, GI Partners which also merged it with with Consilio (another GI Partner investment)"
289,FIRM0768,NexLP,E-Discovery,USA,Chicago,2014,Corporate,eDiscovery,LitTech ,NONE,1,0,Integrated Solution,https://www.nexlp.com/,,"NexLP, LLC provides a predictive intelligence software solution that turns electronic data into patterns and stories"
290,FIRM0769,OpenText,E-Discovery,Canada,Waterloo,1991,Corporate,eDiscovery,RegTech,NONE,1,1,Integrated Solution,https://www.opentext.com/,,OpenText's software solutions help large enterprises manage and secure their unstructured digital data
291,FIRM0770,Text IQ,Legal Compliance,USA,New York,2014,Corporate,RegTech,LitTech ,eDiscovery,1,1,Integrated Solution,http://www.textiq.com/,,Text IQ uses AI technology to prevent high-stakes legal and compliance disasters
292,FIRM0771,Veritone,E-Discovery,USA,California,2014,Corporate,eDiscovery,RegTech,NONE,1,1,Integrated Solution,https://www.veritone.com/,,Veritone applies AI technology for eDiscovery and compliance
293,FIRM0772,Attorney IO,Legal Research,USA,California,2017,Corporate,Legal Research,LitTech ,NONE,1,1,Point Solution,https://www.attorneyio.com/,,Attorney IO uses AI technology to legal research
294,FIRM0778,Eigen Technologies,Legal Analytics,UK,London,2014,Corporate,Legal Research,NONE,NONE,1,1,Point Solution,http://www.eigentech.com/,,Eigen automates the extraction and classification of information from documents.
295,FIRM0779,LinkSquares,Legal Document Automation,USA,Massachusetts,2015,Corporate,Contracts,RegTech,NONE,1,1,Integrated Solution,https://www.linksquares.com/,,LinkSquares is a technology company that specializes in automating the search and reporting process around company contracts.
296,FIRM0781,ThoughtRiver,Legal Analytics,UK,London,2015,Corporate,Contracts,Legal Research,NONE,1,1,Point Solution,https://thoughtriver.com/,,"ThoughtRiver  automates the human triaging process, interpreting key risk issues and dynamically applying corporate policies in order to generate an overall risk score for the contract"
297,FIRM0782,AUTTO,Legal Practice Management,UK,London,2016,Corporate,Workflow & PM,NONE,NONE,1,0,Integrated Solution,https://www.autto.io/,,Autto is a workflow automation company
